huc12,name,areaSqkm,nonContributingAreaSqkm,statesfps,humod
040500010101,Carpenter Lake-South Branch Hog Creek,53.02,0,26,NM
040500010102,Duck Lake-South Branch Hog Creek,74.53,0,26,NM
040500010103,Tallahassee Drain,62.11,0,"18,26",NM
040500010104,Coldwater Lake,55.03,0,26,IT
040500010105,Marble Lake,97.67,0,26,IT
040500010106,East Branch Sauk River,44.14,0,26,
040500010107,Blackhawk Millpond-Coldwater River,74.56,0,26,NM
040500010108,Mud Creek,52.87,0,26,NM
040500010109,South Branch Hog Creek,97.08,0,26,NM
040500010110,Hog Creek,54.23,0,26,NM
040500010111,Hodunk Pond-Coldwater River,99.84,0,26,NM
040500010201,Beebe Lake-Beebe Creek,62.78,0,26,NM
040500010202,Beebe Creek,48.84,0,26,NM
040500010203,Mill Pond-Saint Joseph River,46.98,0,26,GC
040500010204,Sand Creek,53.47,0,26,NM
040500010205,Soap Creek-Saint Joseph River,116.51,0,26,NM
040500010206,Old Homer Lake-Saint Joseph River,44.69,0,26,NM
040500010207,Tekonsha Creek,57.2,0,26,NM
040500010208,Wilder Lake-Saint Joseph River,70.54,0,26,NM
040500010209,Burnett Creek-Saint Joseph River,72.86,0,26,NM
040500010301,Nottawa Lake-Nottawa Creek,61.03,0,26,NM
040500010302,Mud Creek-Nottawa Creek,77.86,0,26,NM
040500010303,Alder Creek,40.54,0,26,NM
040500010304,Pine Creek,128.74,0,26,NM
040500010305,Bear Creek,52.97,0,26,NM
040500010306,Mud Lake-Nottawa Creek,100.54,0,26,NM
040500010401,Corey Lake-Swan Creek,143.25,0,26,NM
040500010402,Little Swan Creek,81.48,0,26,NM
040500010403,Spencer Creek-Saint Joseph River,112.39,0,26,NM
040500010404,Swan Creek,67.92,0,26,NM
040500010405,Mud Lake-Saint Joseph River,59.13,0,26,NM
040500010406,Sturgeon Lake-Saint Joseph River,67.07,0,26,NM
040500010501,Headwaters Portage River,91.49,0,26,NM
040500010502,Gourdneck Creek,88.82,0,26,NM
040500010503,Portage Creek,68.96,0,26,NM
040500010504,Butternut Creek-Bear Creek,50.26,0,26,NM
040500010505,Indian Lake-Portage River,92.14,0,26,NM
040500010506,Goose Lake Drain-Portage River,116.6,0,26,NM
040500010601,Upper Flowerfield Creek,56.35,0,26,NM
040500010602,Middle Flowerfield Creek,47.23,0,26,NM
040500010603,Pickerel Lake-Rocky River,108.22,0,26,NM
040500010604,Lower Flowerfield Creek,50.99,0,26,NM
040500010605,Four County Drain-Rocky River,112.88,0,26,NM
040500010606,Kerr Creek-Rocky River,78.47,0,26,NM
040500010701,Headwaters Prairie River,76.05,0,"18,26",NM
040500010702,Gilead Lake-Prairie River,94.62,0,26,GC
040500010703,Stewart Lake Drain-Prairie River,52.08,0,26,GC
040500010704,Prairie River Lake-Prairie River,71.68,0,26,NM
040500010705,Spring Creek,74.12,0,26,NM
040500010706,Templare Lake-Prairie River,47.32,0,26,"GC,CD"
040500010707,Bullhead Lake-Prairie River,56.28,0,26,"GC,CD"
040500010801,Snow Lake,106.09,0,"18,26",NM
040500010802,Tamarack Lake,52.44,12.01108048,18,NC
040500010803,Lake James-Crooked Creek,44.8,4.5931861,18,NC
040500010804,Town of Orland-Fawn River,42.2,28.2673171,18,NC
040500010805,Himebaugh Drain-Fawn River,96.31,0,"18,26",NM
040500010806,Clear Lake-Fawn River,106.67,0,"18,26",NM
040500010807,Wegner Ditch-Fawn River,79.75,0,"18,26",NM
040500010808,Sherman Mill Creek,55.34,0,26,NM
040500010809,Fawn River Drain-Fawn River,85.61,0,26,NM
040500010901,Headwaters Little Portage Creek,72.42,0,26,NM
040500010902,Little Portage Creek,42.28,0,26,NM
040500010903,Sturgis Dam-Saint Joseph River,45.25,0,26,DM
040500010904,City of Florence-Saint Joseph River,82.87,0,26,"GC,CD"
040500011001,Pigeon Lake-Pigeon Creek,89.52,0,"18,26",ID
040500011002,Mud Creek-Pigeon Creek,47.31,8.57124948,18,"CD,NC"
040500011003,Long Lake-Pigeon Creek,74.52,16.9563434,18,NC
040500011004,Headwaters Turkey Creek,47.69,0,18,NM
040500011005,Big Turkey Lake-Turkey Creek,44.59,0,18,NM
040500011006,Silver Lake-Pigeon Creek,52.43,12.21342348,18,NC
040500011007,Otter Lake-Pigeon Creek,42.47,0,18,CD
040500011008,Little Turkey Lake-Turkey Creek,53.17,3.9861571,18,"NC,IT"
040500011009,Green Lake-Pigeon Creek,54.97,18.21087,18,NC
040500011010,Mongo Millpond-Pigeon Creek,42.58,13.64196506,18,"DM,NC,IT"
040500011101,East Fly Creek,62.65,2.33099136,18,NC
040500011102,Fly Creek,49.43,1.6592126,18,"CD,NC"
040500011103,Cline Lake-Pigeon River,70.07,10.91033456,18,NC
040500011104,Buck Lake-Buck Creek,66.73,2.4685846,18,"CD,NC,DD"
040500011105,Page Ditch,51.19,7.34100404,18,"CD,NC"
040500011106,VanNatta Ditch-Pigeon River,82.31,0,18,NM
040500011107,Stag Lake-Pigeon River,92.33,0,"18,26",NM
040500011201,Emma Lake-Emma Ditch,88.8,0,18,"CD,DD"
040500011202,Little Elkhart River Ditch,48.11,14.49585252,18,"CD,NC"
040500011203,Rowe Eden Ditch,78.11,0,18,CD
040500011204,Mather Ditch-Little Elkhart River,74.54,0,18,CD
040500011205,Duck Lake-Little Elkhart River,46.28,14.24090034,18,NC
040500011301,Headwaters Mill Creek,65.12,0,26,NM
040500011302,Wood Lake-Mill Creek,50.81,0,26,NM
040500011303,Trout Creek,81.08,0,"18,26",NM
040500011304,Black Creek-Saint Joseph River,93.54,0,"18,26","GC,CD"
040500011305,York Township Ditch-Saint Joseph River,40.88,0,"18,26",NM
040500011401,Headwaters Christiana Creek,96.69,0,26,NM
040500011402,Diamond Lake-Christiana Creek,133.11,0,26,NM
040500011403,Christiana Lake-Christiana Creek,75.22,0,"18,26",DM
040500011501,Tamarack Lake-Little Elkhart Creek,51.04,0,18,NM
040500011502,Dallas Lake-Little Elkhart Creek,53.88,0,18,NM
040500011503,Oliver Lake-Little Elkhart Creek,40.99,0,18,NM
040500011504,Waterhouse Ditch-Henderson Lake Ditch,51.79,0,18,NM
040500011505,Oviate Ditch-Middle Branch Elkhart River,44.6,0,18,NM
040500011506,Jones Lake-North Branch Elkhart River,105.46,0,18,NM
